City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
328,fortuna,40.5982,-124.1573,9.81,78,100,0.45,US,1712253563
329,crane,31.3974,-102.3501,24.86,12,0,2.87,US,1712253564
330,ulsteinvik,62.3432,5.8487,4.95,79,100,3.58,NO,1712253564
331,qamdo,31.1667,97.2333,2.44,48,67,2.9,CN,1712253564
332,kapa'a,22.0752,-159.319,23.99,73,75,8.23,US,1712253564
333,sao vicente,-23.9631,-46.3919,37.37,70,0,3.6,BR,1712253564
334,cam ranh,11.9214,109.1591,28.98,74,40,2.57,VN,1712253564
335,bonthe,7.5264,-12.505,29.04,71,85,5.62,SL,1712253564
336,axim,4.8699,-2.2405,29.05,77,28,3.79,GH,1712253564
337,kenai,60.5544,-151.2583,-1.06,97,100,2.57,US,1712253564
338,cidreira,-30.1811,-50.2056,24.9,85,95,2.8,BR,1712253565
339,savanna-la-mar,18.219,-78.1332,31.07,57,55,5.18,JM,1712253565
340,argo,37.6333,22.7333,17.1,57,37,0.82,GR,1712253565
341,lompoc,34.6391,-120.4579,14.18,65,100,3.13,US,1712253565
342,williams lake,52.1415,-122.1445,5.59,49,20,5.14,CA,1712253312
343,agat village,13.3886,144.6585,27.06,81,0,4.63,GU,1712253565
344,natal,-5.795,-35.2094,33.12,62,20,6.17,BR,1712253363
345,kiama,-34.6833,150.8667,19.76,88,100,1.34,AU,1712253366
346,pachino,36.7186,15.0907,15.47,63,0,1.97,IT,1712253565
347,ingeniero jacobacci,-41.3427,-69.5448,14.15,43,100,12.23,AR,1712253565
348,mitu,1.1983,-70.1733,31.25,62,92,0.71,CO,1712253566
349,flying fish cove,-10.4217,105.6791,25.82,94,75,2.57,CX,1712253566
350,digoin,46.4812,3.9795,19.05,55,0,1.03,FR,1712253566
351,cestos city,5.46,-9.5828,28.92,77,35,4.15,LR,1712253566
352,queenstown,-31.8976,26.8753,20.3,44,52,3.39,ZA,1712253566
353,hasaki,35.7333,140.8333,14.05,65,100,9.65,JP,1712253566
354,kyelang,32.5833,77.0333,-11.22,93,99,2.22,IN,1712253566
355,punta del este,-34.9667,-54.95,23.06,68,20,2.57,UY,1712253566
356,san fernando de monte cristi,19.8667,-71.65,28.71,58,2,6.35,DO,1712253566
357,puerto armuelles,8.2833,-82.8667,30.99,75,51,0.45,PA,1712253442
358,laminusa,5.5549,120.9136,27.97,75,97,1.12,PH,1712253567
359,kavieng,-2.5744,150.7967,27.65,82,88,2.8,PG,1712253567
360,novo aripuana,-5.1206,-60.3797,33.76,55,55,1.24,BR,1712253567
361,nogliki,51.8333,143.1667,-6.48,90,83,0.89,RU,1712253567
362,le port,-20.9373,55.2919,25.0,85,35,1.26,RE,1712253463
